metric,sql_value,powerbi_value,difference,tolerance,status
GMV Proxy,13591643.70,,,0.01,BLOCKED_DESKTOP_NOT_INSTALLED
Orders,98666,,,0.01,BLOCKED_DESKTOP_NOT_INSTALLED
Active Sellers,3095,,,0.01,BLOCKED_DESKTOP_NOT_INSTALLED
AOV,137.754076378894,,,0.01,BLOCKED_DESKTOP_NOT_INSTALLED
Conversion Rate,0.10525,,,0.0001,BLOCKED_DESKTOP_NOT_INSTALLED
Activation Rate,0.388361045131,,,0.0001,BLOCKED_DESKTOP_NOT_INSTALLED
Late Delivery Rate,0.081116938577,,,0.0001,BLOCKED_DESKTOP_NOT_INSTALLED

