seller_rank,seller_id,gmv_proxy,seller_share,gmv_proxy_share,cumulative_gmv_share,active_months,first_sale_month,last_sale_month
91,d1c281d3ae149232351cd8c8cc885f0d,26942.60,0.02940226,0.00198229,0.43334004,19,2017-02,2018-08
92,b32be1695eb7ec5f10f72d9610a12527,26874.00,0.02972536,0.00197724,0.43531728,10,2017-11,2018-08
93,12b9676b00f60f3b700e83af21824c0e,26774.00,0.03004847,0.00196989,0.43728717,18,2017-03,2018-08
94,a3a38f4affed601eb87a97788c949667,26533.32,0.03037157,0.00195218,0.43923935,21,2016-10,2018-08
95,de23c3b98a88888289c6f5cc1209054a,26399.67,0.03069467,0.00194235,0.44118170,15,2017-05,2018-08
96,9f505651f4a6abe901a56cdc21508025,26361.82,0.03101777,0.00193956,0.44312126,11,2017-10,2018-08
97,16090f2ca825584b5a147ab24aa30c86,25716.44,0.03134087,0.00189208,0.44501333,20,2017-01,2018-08
98,a416b6a846a11724393025641d4edd5e,25670.72,0.03166397,0.00188871,0.44690205,20,2017-01,2018-08
99,b94cc9f10ddc85e4ba73a6f7974e7101,25346.10,0.03198708,0.00186483,0.44876688,5,2017-11,2018-06
100,c003204e1ab016dfa150abc119207b24,25108.09,0.03231018,0.00184732,0.45061419,11,2017-10,2018-08
101,001cca7ae9ae17fb1caed9dfb1094831,25080.03,0.03263328,0.00184525,0.45245945,17,2017-02,2018-07
102,1900267e848ceeba8fa32d80c1a5f5a8,24982.53,0.03295638,0.00183808,0.45429753,16,2017-05,2018-08
103,1c68394e931a64f90ea236c5ea590300,24832.75,0.03327948,0.00182706,0.45612459,12,2017-07,2018-08
104,b1b3948701c5c72445495bd161b83a4c,24699.19,0.03360258,0.00181723,0.45794182,3,2017-06,2017-08
105,f62d7bb4a613ec758a03342d46b580b2,24665.00,0.03392569,0.00181472,0.45975654,8,2018-01,2018-08
106,dc4a0fc896dc34b0d5bfec8438291c80,24180.77,0.03424879,0.00177909,0.46153563,19,2017-02,2018-08
107,b37c4c02bda3161a7546a4e6d222d5b2,24075.00,0.03457189,0.00177131,0.46330694,4,2017-04,2018-07
108,710e3548e02bc1d2831dfc4f1b5b14d4,23979.11,0.03489499,0.00176425,0.46507119,20,2016-10,2018-08
109,2b3e4a2a3ea8e01938cabda2a3e5cc79,23629.15,0.03521809,0.00173851,0.46680970,14,2017-05,2018-07
110,1a3df491d1c4f1589fc2b934ada68bf2,23302.70,0.03554120,0.00171449,0.46852419,17,2017-04,2018-08
111,40db9e9aa57f7bb151bcda6b0f9bdbb7,23168.00,0.03586430,0.00170458,0.47022876,5,2018-02,2018-08
112,612170e34b97004b3ba37eae81836b4c,23065.02,0.03618740,0.00169700,0.47192576,3,2018-06,2018-08
113,897060da8b9a21f655304d50fd935913,23023.92,0.03651050,0.00169398,0.47361974,17,2016-10,2018-06
114,8444e55c1f13cd5c179851e5ca5ebd00,22873.21,0.03683360,0.00168289,0.47530263,17,2017-03,2018-07
115,7b0df942f46435babab05d49b744b2c4,22600.63,0.03715670,0.00166283,0.47696546,14,2017-02,2018-06
116,7ad32824caee82087b3e2e5f33b1bf32,22505.10,0.03747981,0.00165580,0.47862126,8,2018-01,2018-08
117,744dac408745240a2c2528fb1b6028f3,22490.60,0.03780291,0.00165474,0.48027600,16,2017-04,2018-08
118,06e5eefc71ec47ae763c5c6f8db7064f,22188.56,0.03812601,0.00163251,0.48190852,17,2017-04,2018-08
119,f45122a9ab94eb4f3f8953578bc0c560,22078.29,0.03844911,0.00162440,0.48353292,19,2017-02,2018-08
120,05ff92fedb5be47920fea08e501238b9,21992.78,0.03877221,0.00161811,0.48515103,19,2016-10,2018-08
121,ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,21940.80,0.03909532,0.00161429,0.48676531,7,2017-12,2018-06
122,8f2ce03f928b567e3d56181ae20ae952,21712.90,0.03941842,0.00159752,0.48836283,16,2017-04,2018-08
123,59fb871bf6f4522a87ba567b42dafecf,21708.57,0.03974152,0.00159720,0.48996003,16,2016-10,2018-04
124,d2374cbcbb3ca4ab1086534108cc3ab7,21223.92,0.04006462,0.00156154,0.49152157,19,2017-02,2018-08
125,48162d548f5b1b11b9d29d1e01f75a61,20510.14,0.04038772,0.00150903,0.49303060,19,2017-01,2018-08
126,729f06993dac8e860d4f02d7088ca48a,20485.08,0.04071082,0.00150718,0.49453778,18,2017-03,2018-08
127,00ee68308b45bc5e2660cd833c3f81cc,20260.00,0.04103393,0.00149062,0.49602840,12,2017-09,2018-08
128,bfd27a966d91cfaafdb25d076585f0da,19921.00,0.04135703,0.00146568,0.49749408,18,2017-02,2018-07
129,004c9cd9d87a3c30c522c48c4fc07416,19712.71,0.04168013,0.00145036,0.49894444,17,2017-01,2018-05
130,d650b663c3b5f6fb392b6326366efa9a,19242.90,0.04200323,0.00141579,0.50036023,8,2017-12,2018-08
131,821fb029fc6e495ca4f08a35d51e53a5,19187.42,0.04232633,0.00141171,0.50177194,7,2018-01,2018-08
132,f457c46070d02cadd8a68551231220dd,19093.00,0.04264943,0.00140476,0.50317670,7,2017-12,2018-06
133,2a5b78b41cd05baeac8df54c6606b92c,19025.36,0.04297254,0.00139978,0.50457648,14,2017-07,2018-08
134,dc317f341ab0e22f39acbd9dbf9b4a1f,18988.40,0.04329564,0.00139706,0.50597354,11,2017-01,2018-07
135,96493fab2fbb13a14d0c0e8772eef5c3,18969.00,0.04361874,0.00139564,0.50736918,16,2017-02,2018-06
136,44073f8b7e41514de3b7815dd0237f4f,18729.64,0.04394184,0.00137803,0.50874721,18,2017-02,2018-08
137,cd68562d3f44870c08922d380acae552,18569.70,0.04426494,0.00136626,0.51011346,13,2017-04,2018-06
138,0dd184061fb0eaa7ca37932c68ab91c5,18446.92,0.04458805,0.00135723,0.51147069,9,2017-12,2018-08
139,527801b552d0077ffd170872eb49683b,17942.80,0.04491115,0.00132013,0.51279082,11,2017-10,2018-08
140,a888faf2d1baececa6baf9c3d603ee1f,17765.80,0.04523425,0.00130711,0.51409794,14,2017-01,2018-05
141,9de4643a8dbde634fe55621059d92273,17560.34,0.04555735,0.00129200,0.51538993,14,2017-01,2018-02
142,8b321bb669392f5163d04c59e235e066,17535.69,0.04588045,0.00129018,0.51668011,11,2017-10,2018-08
143,c72de06d72748d1a0dfb2125be43ba63,17522.00,0.04620355,0.00128917,0.51796929,4,2018-05,2018-08
144,165fc07beebdcb6190fba8a06db2a449,17481.40,0.04652666,0.00128619,0.51925548,11,2017-08,2018-08
145,0c8380b62e38e8a1e6adbeba7eb9688c,17348.79,0.04684976,0.00127643,0.52053191,18,2016-10,2018-08
146,1e8b33f18b4f7598d87f5cbee2282cc2,17309.06,0.04717286,0.00127351,0.52180541,10,2017-11,2018-08
147,94144541854e298c2d976cb893b81343,17286.28,0.04749596,0.00127183,0.52307724,13,2017-02,2018-02
148,54a1852d1b8f10312c55e906355666ee,17226.44,0.04781906,0.00126743,0.52434467,20,2017-01,2018-08
149,abe42c5d03695b4257b5c6cbf4e6784e,17159.00,0.04814216,0.00126247,0.52560714,13,2017-08,2018-08
150,41b39e28db005d9731d9d485a83b4c38,17112.55,0.04846527,0.00125905,0.52686619,20,2017-01,2018-08
151,4a3ccda38b2129705f3fb522db62ca31,17062.59,0.04878837,0.00125537,0.52812156,12,2017-09,2018-08
152,76d64c4aca3a7baf218bf93ef7fa768d,16911.80,0.04911147,0.00124428,0.52936584,14,2017-05,2018-08
153,c3acdfac4e3e97ff87529454fbc03642,16788.00,0.04943457,0.00123517,0.53060101,6,2018-03,2018-08
154,86ccac0b835037332a596a33b6949ee1,16619.93,0.04975767,0.00122281,0.53182382,17,2017-03,2018-07
155,8ae520247981aa06bc94abddf5f46d34,16320.99,0.05008078,0.00120081,0.53302463,10,2017-11,2018-08
156,7aa4334be125fcdd2ba64b3180029f14,16234.81,0.05040388,0.00119447,0.53421910,11,2017-02,2017-12
157,ef0ace09169ac090589d85746e3e036f,16223.30,0.05072698,0.00119362,0.53541272,10,2017-11,2018-08
158,fa40cc5b934574b62717c68f3d678b6d,16055.87,0.05105008,0.00118130,0.53659403,18,2016-10,2018-05
159,1f1bb1f0859883505541bdd6606193e5,16040.84,0.05137318,0.00118020,0.53777423,13,2017-04,2018-07
160,0adac9fbd9a2b63cccaac4f8756c1ca8,15960.95,0.05169628,0.00117432,0.53894855,19,2017-01,2018-08
161,4b9750c8ad28220fe6702d4ecb7c898f,15915.30,0.05201939,0.00117096,0.54011951,11,2017-10,2018-08
162,2a84855fd20af891be03bc5924d2b453,15819.10,0.05234249,0.00116388,0.54128339,9,2017-12,2018-08
163,229c3efbfb0ea2058de4ccdfbc3d784a,15744.00,0.05266559,0.00115836,0.54244175,18,2016-10,2018-08
164,f9244d45189d3a3605499abddeade7d5,15731.43,0.05298869,0.00115743,0.54359919,13,2017-02,2018-08
165,d921b68bf747894be13a97ae52b0f386,15645.80,0.05331179,0.00115113,0.54475032,5,2018-04,2018-08
166,6061155addc1e54b4cfb51c1c2a32ad8,15633.40,0.05363489,0.00115022,0.54590054,3,2018-06,2018-08
167,c33847515fa6305ce6feb1e818569f13,15519.85,0.05395800,0.00114187,0.54704241,4,2018-05,2018-08
168,85d9eb9ddc5d00ca9336a2219c97bb13,15415.24,0.05428110,0.00113417,0.54817658,21,2016-10,2018-08
169,213b25e6f54661939f11710a6fddb871,15379.50,0.05460420,0.00113154,0.54930812,9,2017-11,2018-08
170,e5a38146df062edaf55c38afa99e42dc,15360.07,0.05492730,0.00113011,0.55043823,20,2016-10,2018-08
171,c847e075301870dd144a116762eaff9a,15348.70,0.05525040,0.00112927,0.55156750,9,2017-02,2018-01
172,ce248b21cb2adc36282ede306b7660e5,15230.06,0.05557351,0.00112055,0.55268805,14,2017-07,2018-08
173,79ebd9a61bac3eaf882805ed4ecfa12a,15092.79,0.05589661,0.00111045,0.55379850,11,2017-10,2018-08
