"Cohort","SellersClosed","Observable30D","Observable60D","Observable90D","Activated30D","Activated60D","Activated90D","Activation30Rate","Activation60Rate","Activation90Rate","MedianDaysToActivate","ClosedSellersSummary","Activation30RateSummary","Activation60RateSummary","Activation90RateSummary","MedianActivationDaysSummary"
"2017-12","3","3","3","3","0","1","1","0","0.333333333333333","0.333333333333333","44.0455439814815","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-01","73","73","73","73","13","21","32","0.178082191780822","0.287671232876712","0.438356164383562","54.2637731481481","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-02","113","113","113","113","16","30","44","0.141592920353982","0.265486725663717","0.389380530973451","60.976724537037","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-03","147","147","147","147","27","49","61","0.183673469387755","0.333333333333333","0.414965986394558","42.878900462963","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-04","207","207","207","207","34","66","89","0.164251207729469","0.318840579710145","0.429951690821256","47.6715509259259","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-05","122","122","122","122","21","46","62","0.172131147540984","0.377049180327869","0.508196721311475","39.1183449074074","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-06","57","57","57","57","8","22","23","0.140350877192982","0.385964912280702","0.403508771929825","38.0757175925926","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-07","37","37","37","37","9","10","10","0.243243243243243","0.27027027027027","0.27027027027027","15.8047453703704","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-08","33","33","33","10","2","2","2","0.0606060606060606","0.0606060606060606","0.2","10.8650694444444","842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-09","23","23","11","0","0","0","0","0","0",,,"842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-10","21","10","0","0","0","0","0","0",,,,"842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
"2018-11","4","0","0","0","0","0","0",,,,,"842","0.157575757575758","0.307596513075965","0.421326397919376","44.293130787037"
