purchase_month,category,gmv_proxy,orders,avg_review,late_rate,active_sellers,gmv_per_seller,gmv_share,gmv_growth
2017-01,home_appliances_2,2126.68,7,4.714285714285714,,4,531.67,0.0176762469385029,
2017-01,home_comfort_2,72.8,2,4.5,,2,36.4,0.0006050890482456,
2017-01,housewares,2827.58,21,4.071428571428571,,16,176.72375,0.0235018913604172,1.1969123668487338
2017-01,kitchen_dining_laundry_garden_furniture,110.0,1,5.0,,1,110.0,0.0009142829025689,
2017-01,luggage_accessories,492.5,4,4.8,,2,246.25,0.0040934939046836,
2017-01,market_place,447.04,6,3.6666666666666665,,4,111.76,0.0037156457160401,-0.6577527006025157
2017-01,music,19.8,2,5.0,,1,19.8,0.0001645709224624,
2017-01,musical_instruments,339.74,1,4.0,,1,339.74,0.0028238043028979,
2017-01,office_furniture,1444.35,7,2.8,,2,722.175,0.0120049500938677,0.11028688272553944
2017-01,perfumery,5112.599999999999,29,4.818181818181818,,4,1278.1499999999999,0.0424942069788543,-0.10127094063670095
2017-01,pet_shop,967.12,13,4.2,,7,138.16,0.0080383752793861,0.40227351815334633
2017-01,security_and_services,183.29,1,4.0,,1,183.29,0.0015234446655623,
2017-01,small_appliances,1660.79,6,4.666666666666667,,5,332.158,0.0138039263796134,
2017-01,sports_leisure,9717.62,62,3.962025316455696,,24,404.90083333333337,0.0807695801787456,1.9150178183607114
2017-01,stationery,1561.99,7,4.785714285714286,,4,390.4975,0.0129827340998514,
2017-01,telephony,2945.86,21,4.0,,8,368.2325,0.0244849948305613,4.890777475603904
2017-01,toys,4814.09,43,4.255813953488372,,14,343.86357142857145,0.0400130925311647,0.07816191834879027
2017-01,unknown,1702.64,11,3.615384615384616,,10,170.264,0.0141517694657271,24.840643496736988
2017-01,watches_gifts,8086.52,11,4.0,,3,2695.5066666666667,0.0672124270661983,1.4065304859176728
2017-02,agro_industry_and_commerce,224.84,7,3.857142857142857,,2,112.42,0.0009091680319957,2.4082158556919815
2017-02,air_conditioning,3095.3,12,2.727272727272727,,4,773.825,0.0125162240234672,3.6637034804881727
2017-02,audio,163.8,5,3.4,,4,40.95,0.0006623453284153,0.043378559143894435
2017-02,auto,13162.4,77,4.247058823529412,,35,376.06857142857143,0.0532237738140035,1.5222428538304849
2017-02,baby,3048.48,33,4.151515151515151,,15,203.232,0.0123269016286173,-0.523516420308634
2017-02,bed_bath_table,16282.73,146,4.195121951219512,,19,856.9857894736842,0.0658412097029789,3.1116343784089535
2017-02,books_general_interest,772.71,8,4.375,,6,128.785,0.0031245473670317,2.289667503938014
2017-02,books_imported,99.0,1,1.0,,1,99.0,0.0004003186050861,
2017-02,books_technical,159.0,1,4.0,,1,159.0,0.000642935941502,-0.4044943820224719
2017-02,cine_photo,59.0,1,5.0,,1,59.0,0.0002385737141422,
2017-02,computers,3549.0,1,5.0,,1,3549.0,0.0143508154489985,0.6131891508597769
2017-02,computers_accessories,11972.59,97,3.933333333333333,,33,362.8057575757576,0.0484126315966541,2.05100990280673
