"Segment","Orders","LateRate","AvgReview","LowReviewRate","AverageScheduleGapDays","SummaryLateRate","SummaryAvgReview","SummaryLowReviewRate"
"Late","7662","1","2.56656225528583","0.539806838945445","9.55177591788057","0.0811169385766703","4.15602281818498","0.127726181780236"
"On Time","88168","0","4.29415056105012","0.0919154341711279","-13.0082801700717","0.0811169385766703","4.15602281818498","0.127726181780236"
