purchase_month,product_category_name_english,gmv_proxy,orders,active_sellers,avg_review_score,gmv_share_month
2016-09,furniture_decor,72.89,1,1,1.0,0.27262866546977854
2016-09,health_beauty,134.97,1,1,1.0,0.5048249551166966
2016-09,telephony,59.5,1,1,1.0,0.22254637941352481
2016-10,air_conditioning,1707.0900000000001,5,2,3.8,0.034481330767804415
2016-10,audio,156.99,2,1,5.0,0.003171024443490159
2016-10,auto,1833.25,11,11,2.75,0.03702962329465784
2016-10,baby,1630.16,11,9,3.4285714285714284,0.03292742981591131
2016-10,bed_bath_table,478.99,5,4,3.375,0.009675068464152819
2016-10,books_general_interest,119.5,1,1,5.0,0.002413767889655863
2016-10,books_technical,267.0,1,1,1.0,0.00539310482458674
2016-10,computers_accessories,1399.32,18,9,2.761904761904762,0.028264717015508305
2016-10,consoles_games,3882.26,10,4,3.4,0.07841736006104914
2016-10,cool_stuff,1111.0,8,8,3.75,0.02244097176073359
2016-10,diapers_and_hygiene,134.9,1,1,5.0,0.002724830864557121
2016-10,electronics,1306.99,2,2,3.0,0.026399753088713947
2016-10,fashio_female_clothing,54.9,1,1,5.0,0.0011089193066285096
2016-10,fashion_bags_accessories,508.3,8,5,3.2222222222222223,0.010267098061188914
2016-10,fashion_male_clothing,24.9,1,1,1.0,0.0005029524724052802
2016-10,fashion_shoes,29.99,1,1,5.0,0.0006057648452784881
2016-10,fixed_telephony,704.88,5,5,4.0,0.014237796736908994
2016-10,food,79.9,1,1,5.0,0.0016138916684812006
2016-10,furniture_decor,5807.89,51,34,3.5757575757575757,0.11731295722722504
2016-10,garden_tools,1359.88,5,5,4.2,0.0274680726174495
2016-10,health_beauty,4552.51,44,14,3.391304347826087,0.09195566908231978
2016-10,housewares,1287.0700000000002,9,6,3.0833333333333335,0.025997391110789726
2016-10,industry_commerce_and_business,359.6,3,1,4.25,0.007263522452889109
2016-10,market_place,1306.19,7,7,4.538461538461538,0.02638359397313466
2016-10,office_furniture,1300.8799999999999,6,2,1.6,0.026276337843477146
2016-10,perfumery,5688.7,30,5,4.151515151515151,0.11490545099485613
2016-10,pet_shop,689.6800000000001,4,2,4.25,0.01393077354090256
2016-10,sports_leisure,3333.64,19,16,3.9473684210526314,0.0673358425746642
2016-10,telephony,500.08,9,5,3.8,0.010101063148611748
2016-10,toys,4465.09,25,11,3.72,0.0901898817273933
2016-10,unknown,65.89,2,2,5.0,0.0013309051568989524
2016-10,watches_gifts,3360.24,5,3,4.0,0.06787313316767546
2016-12,fashion_bags_accessories,10.9,1,1,5.0,1.0
2017-01,agro_industry_and_commerce,65.97,2,1,4.333333333333333,0.0005483203916588475
2017-01,air_conditioning,663.7,3,3,3.5,0.005516450567590982
2017-01,auto,5218.53,30,16,3.5294117647058822,0.04337466141402827
2017-01,baby,6397.87,32,18,4.625,0.05317693776235244
2017-01,bed_bath_table,3960.1600000000003,45,10,4.104166666666667,0.03291551435852208
2017-01,books_general_interest,234.89,2,1,5.0,0.00195232646349472
2017-01,computers,2199.99,1,1,4.0,0.01828557493475137
2017-01,computers_accessories,3924.1400000000003,24,12,4.32258064516129,0.03261612826624451
2017-01,consoles_games,5954.2,21,6,4.181818181818182,0.04948930234978186
2017-01,construction_tools_construction,310.0,1,1,1.0,0.002576615452694296
2017-01,cool_stuff,7784.87,32,21,3.725,0.06470521399747176
2017-01,dvds_blu_ray,29.8,1,1,5.0,0.0002476875499686775
2017-01,electronics,617.0,11,6,3.8181818181818183,0.005128295917136712
2017-01,fashio_female_clothing,77.3,2,1,4.0,0.0006424915306234486
2017-01,fashion_bags_accessories,1671.97,30,7,4.363636363636363,0.013896850769165428
2017-01,fashion_male_clothing,126.9,1,1,5.0,0.0010547500030545361
2017-01,fashion_shoes,34.9,1,1,5.0,0.000290077029996874
2017-01,fashion_underwear_beach,137.25,2,1,3.0,0.0011407757125235232
2017-01,fixed_telephony,677.12,19,4,4.3,0.005627993081704393
2017-01,food,42.82,2,1,5.0,0.00035590539898183797
2017-01,furniture_bedroom,73.2,8,1,5.0,0.000608413713345879
2017-01,furniture_decor,13521.31,137,45,3.782967032967033,0.11238456866667713
2017-01,furniture_living_room,1241.9,8,3,4.8,0.010322253970003376
2017-01,garden_tools,8152.75,40,19,3.8448275862068964,0.06776290849017233
2017-01,health_beauty,12561.32,82,26,4.048192771084337,0.10440545554270296
2017-01,home_appliances_2,2126.68,7,4,4.714285714285714,0.01767624693850292
2017-01,home_comfort_2,72.8,2,2,4.5,0.0006050890482456283
2017-01,housewares,2827.58,21,16,4.071428571428571,0.02350189136041722
2017-01,kitchen_dining_laundry_garden_furniture,110.0,1,1,5.0,0.0009142829025689438
2017-01,luggage_accessories,492.5,4,2,4.8,0.0040934939046836805
2017-01,market_place,447.03999999999996,6,4,3.6666666666666665,0.0037156457160401873
2017-01,music,19.8,2,1,5.0,0.0001645709224624099
2017-01,musical_instruments,339.74,1,1,4.0,0.0028238043028979364
2017-01,office_furniture,1444.35,7,2,2.8,0.012004950093867763
2017-01,perfumery,5112.599999999999,29,4,4.818181818181818,0.04249420697885438
2017-01,pet_shop,967.12,13,7,4.2,0.008038375279386153
2017-01,security_and_services,183.29,1,1,4.0,0.0015234446655623792
2017-01,small_appliances,1660.79,6,5,4.666666666666667,0.01380392637961342
2017-01,sports_leisure,9717.62,62,24,3.962025316455696,0.08076958017874564
2017-01,stationery,1561.99,7,4,4.785714285714286,0.012982734099851496
2017-01,telephony,2945.86,21,8,4.0,0.024484994830561355
2017-01,toys,4814.09,43,14,4.255813953488372,0.04001309253116479
2017-01,unknown,1702.64,11,10,3.6153846153846154,0.014151769465727151
2017-01,watches_gifts,8086.52,11,3,4.0,0.06721242706619833
2017-02,agro_industry_and_commerce,224.84,7,2,3.857142857142857,0.0009091680319957274
2017-02,air_conditioning,3095.3,12,4,2.727272727272727,0.012516224023467243
2017-02,audio,163.8,5,4,3.4,0.0006623453284153182
2017-02,auto,13162.4,77,35,4.247058823529412,0.05322377381400357
2017-02,baby,3048.48,33,15,4.151515151515151,0.012326901628617395
2017-02,bed_bath_table,16282.730000000001,146,19,4.195121951219512,0.06584120970297896
2017-02,books_general_interest,772.71,8,6,4.375,0.0031245473670317493
2017-02,books_imported,99.0,1,1,1.0,0.00040031860508618134
2017-02,books_technical,159.0,1,1,4.0,0.0006429359415020488
2017-02,cine_photo,59.0,1,1,5.0,0.0002385737141422697
2017-02,computers,3549.0,1,1,5.0,0.014350815448998562
2017-02,computers_accessories,11972.59,97,33,3.933333333333333,0.04841263159665418
2017-02,consoles_games,4294.7699999999995,18,7,4.111111111111111,0.017366427631979584
2017-02,construction_tools_construction,336.79,3,2,5.0,0.0013618515455250003
2017-02,construction_tools_safety,379.0,1,1,5.0,0.0015325328416935628
2017-02,cool_stuff,13323.6,69,26,4.3,0.05387560572450753
2017-02,costruction_tools_garden,579.98,1,1,5.0,0.0023452200462412472
2017-02,dvds_blu_ray,14.9,1,1,4.0,6.024997187660709e-05
2017-02,electronics,1218.85,14,10,4.2105263157894735,0.004928569008174667
2017-02,fashio_female_clothing,457.8,4,3,3.0,0.001851170276853069
2017-02,fashion_bags_accessories,2374.11,35,13,4.153846153846154,0.009600004075971252
2017-02,fashion_male_clothing,642.85,7,4,4.142857142857143,0.00259944257858234
2017-02,fashion_shoes,107.05,2,2,4.333333333333333,0.00043286976438864353
2017-02,fashion_underwear_beach,396.96999999999997,6,2,4.0,0.001605196733950115
2017-02,fixed_telephony,759.23,18,7,4.136363636363637,0.003070039338783651
2017-02,food,715.63,9,3,3.888888888888889,0.0028937374076547875
2017-02,furniture_bedroom,450.0,1,1,5.0,0.001819630023119006
2017-02,furniture_decor,20986.1,221,74,3.8333333333333335,0.0848598613959506
2017-02,furniture_living_room,3791.63,15,4,3.739130434782609,0.015331919521241594
2017-02,garden_tools,13144.61,63,35,3.986111111111111,0.05315183777375627
2017-02,health_beauty,22838.79,155,46,4.072727272727272,0.0923514399460225
2017-02,home_appliances,740.9,7,2,4.142857142857143,0.0029959197425086033
2017-02,home_appliances_2,15.99,1,1,5.0,6.465752015482869e-05
