days_since_won,at_risk,events,censored,survival,cumulative_activation,metric_version
0.0,840,0,0,1.0,0.0,v3
2.1621,840,0,1,1.0,0.0,v3
3.2097,839,1,0,0.99880810488677,0.0011918951132300348,v3
4.04,838,1,0,0.9976162097735399,0.0023837902264600697,v3
4.1617,837,1,0,0.9964243146603099,0.0035756853396901045,v3
5.1794,836,0,1,0.9964243146603099,0.0035756853396901045,v3
5.3648,835,1,0,0.9952309921277825,0.004769007872217457,v3
5.8785,834,1,0,0.9940376695952552,0.005962330404744809,v3
5.9463,833,1,0,0.9928443470627278,0.007155652937272161,v3
6.1608,832,1,0,0.9916510245302005,0.008348975469799513,v3
6.2909,831,1,0,0.9904577019976731,0.009542298002326866,v3
6.4417,830,1,0,0.9892643794651458,0.010735620534854218,v3
6.5476,829,1,0,0.9880710569326185,0.011928943067381459,v3
6.6111,828,1,0,0.9868777344000912,0.013122265599908811,v3
6.6892,827,1,0,0.985684411867564,0.014315588132436052,v3
6.7493,826,1,0,0.9844910893350366,0.015508910664963405,v3
6.7541,825,1,0,0.9832977668025092,0.016702233197490757,v3
6.7894,824,1,0,0.9821044442699819,0.01789555573001811,v3
7.1206,823,1,0,0.9809111217374545,0.01908887826254546,v3
7.1502,822,1,0,0.9797177992049272,0.020282200795072813,v3
7.2381,821,1,0,0.9785244766723998,0.021475523327600166,v3
7.2444,820,1,0,0.9773311541398725,0.022668845860127518,v3
7.2659,819,1,0,0.9761378316073451,0.02386216839265487,v3
7.3563,818,1,0,0.9749445090748178,0.025055490925182222,v3
7.7943,817,1,0,0.9737511865422905,0.026248813457709463,v3
7.827,816,1,0,0.9725578640097632,0.027442135990236816,v3
8.0062,815,1,0,0.9713645414772358,0.028635458522764168,v3
8.3569,814,1,0,0.9701712189447085,0.02982878105529152,v3
8.8013,813,1,0,0.9689778964121811,0.031022103587818872,v3
9.1962,812,1,0,0.9677845738796538,0.032215426120346224,v3
9.4774,811,1,0,0.9665912513471265,0.033408748652873466,v3
10.0752,810,1,0,0.9653979288145992,0.03460207118540082,v3
10.3498,809,0,1,0.9653979288145992,0.03460207118540082,v3
10.5084,808,0,1,0.9653979288145992,0.03460207118540082,v3
10.6185,807,1,0,0.9642016488532428,0.035798351146757224,v3
10.8358,806,1,0,0.9630053688918865,0.03699463110811352,v3
10.8651,805,1,0,0.9618090889305301,0.038190911069469924,v3
10.9464,804,1,0,0.9606128089691737,0.03938719103082633,v3
11.0539,803,1,0,0.9594165290078173,0.040583470992182735,v3
11.1959,802,0,1,0.9594165290078173,0.040583470992182735,v3
11.2952,801,0,1,0.9594165290078173,0.040583470992182735,v3
11.6118,800,1,0,0.9582172583465575,0.041782741653442534,v3
11.7444,799,1,0,0.9570179876852977,0.042982012314702334,v3
11.9635,798,1,0,0.9558187170240379,0.04418128297596213,v3
12.1414,797,1,0,0.9546194463627782,0.04538055363722182,v3
12.1658,796,1,0,0.9534201757015184,0.04657982429848162,v3
12.2354,795,0,1,0.9534201757015184,0.04657982429848162,v3
12.3775,794,1,0,0.9522193946238087,0.04778060537619133,v3
12.4209,793,1,0,0.951018613546099,0.048981386453901044,v3
12.5039,792,0,1,0.951018613546099,0.048981386453901044,v3
12.8656,791,1,0,0.9498163144139293,0.05018368558607067,v3
12.9033,790,1,0,0.9486140152817598,0.051385984718240185,v3
13.2113,789,1,0,0.9474117161495902,0.05258828385040981,v3
13.2952,788,0,1,0.9474117161495902,0.05258828385040981,v3
13.353,787,1,0,0.9462078893183963,0.05379211068160372,v3
13.3555,786,1,0,0.9450040624872024,0.05499593751279763,v3
13.3791,785,0,1,0.9450040624872024,0.05499593751279763,v3
13.7481,784,1,0,0.9437987001626013,0.056201299837398744,v3
13.7599,783,1,0,0.9425933378380001,0.057406662161999855,v3
13.7962,782,1,0,0.9413879755133991,0.058612024486600856,v3
13.8456,781,1,0,0.9401826131887981,0.059817386811201856,v3
13.8572,780,1,0,0.9389772508641971,0.061022749135802856,v3
13.9139,779,1,0,0.9377718885395961,0.06222811146040386,v3
14.0512,778,1,0,0.9365665262149951,0.06343347378500486,v3
14.1125,777,1,0,0.9353611638903941,0.06463883610960586,v3
14.1174,776,1,0,0.9341558015657931,0.06584419843420686,v3
14.5812,775,1,0,0.932950439241192,0.06704956075880797,v3
14.738,774,1,0,0.9317450769165909,0.06825492308340908,v3
14.8085,773,1,0,0.9305397145919899,0.06946028540801008,v3
15.0716,772,1,0,0.9293343522673889,0.07066564773261108,v3
15.4279,771,1,0,0.9281289899427879,0.07187101005721208,v3
15.5044,770,1,0,0.9269236276181869,0.07307637238181308,v3
15.8047,769,1,0,0.9257182652935859,0.07428173470641408,v3
15.8171,768,1,0,0.9245129029689848,0.0754870970310152,v3
15.8551,767,1,0,0.9233075406443838,0.0766924593556162,v3
15.8666,766,1,0,0.9221021783197828,0.0778978216802172,v3
15.8719,765,1,0,0.9208968159951818,0.0791031840048182,v3
16.2869,764,0,1,0.9208968159951818,0.0791031840048182,v3
16.3915,763,1,0,0.919689873903445,0.08031012609655497,v3
16.4847,762,1,0,0.9184829318117081,0.08151706818829185,v3
16.6316,761,1,0,0.9172759897199714,0.08272401028002863,v3
16.8826,760,1,0,0.9160690476282346,0.0839309523717654,v3
17.2801,759,0,1,0.9160690476282346,0.0839309523717654,v3
17.6378,758,1,0,0.914860513264609,0.08513948673539096,v3
17.6867,757,1,0,0.9136519789009834,0.08634802109901663,v3
17.7321,756,1,0,0.9124434445373578,0.08755655546264218,v3
17.7374,755,1,0,0.9112349101737321,0.08876508982626785,v3
18.1392,754,1,0,0.9100263758101066,0.08997362418989341,v3
18.185,753,0,1,0.9100263758101066,0.08997362418989341,v3
18.2852,752,1,0,0.9088162343529124,0.09118376564708763,v3
18.3552,751,1,0,0.9076060928957181,0.09239390710428186,v3
18.4989,750,1,0,0.9063959514385239,0.09360404856147608,v3
