seller_id,gmv_proxy,seller_rank,cumulative_seller_share,cumulative_gmv_share
712e6ed8aa4aa1fa65dab41fed5737e4,39815.0,59,0.019063004846526656,0.3563263095250209
634964b17796e64304cadf1ad3050fb7,39465.1,60,0.01938610662358643,0.35922993920154045
7142540dd4c91e2237acb7e911c4eba2,37373.56,61,0.019709208400646203,0.36197968462048485
ea8482cd71df3c1969d7b9473ff13abc,37177.52,62,0.020032310177705976,0.36471500647121874
c3867b4666c7d76867627c2f7fb22e21,37153.4,63,0.020355411954765753,0.3674485537021545
7178f9f4dd81dcef02f62acdf8151e01,37070.4,64,0.020678513731825526,0.37017599423975484
c70c1b0d8ca86052f45a432a38b73958,36537.37,65,0.0210016155088853,0.3728642172984567
59417c56835dd8e2e72f91f809cd4092,36459.0,66,0.021324717285945073,0.3755466743143068
06a2c3af7b3aee5d69171b0e14f0ee87,36408.95,67,0.021647819063004847,0.3782254489205011
7299e27ed73d2ad986de7f7c77d919fa,34725.43,68,0.02197092084006462,0.3807803591849601
e9bc59e7b60fc3063eb2290deda4cced,34343.06,69,0.022294022617124393,0.3833071367225437
dbc22125167c298ef99da25668e1011f,33776.78,70,0.022617124394184167,0.3857922504251638
9c0e69c7bf2619675bbadf47b43f655a,33702.78,71,0.02294022617124394,0.388271919606015
76d5af76d0271110f9af36c92573f765,33461.6,72,0.023263327948303717,0.3907338440603766
1835b56ce799e6a4dc4eddc053f04066,33344.21,73,0.02358642972536349,0.39318713159027263
5c243662ce92d84573bfaff24c3e3700,32862.020000000004,74,0.023909531502423264,0.3956049421748747
2528513dd95219a6013d4d05176e391a,32689.1,75,0.024232633279483037,0.3980100302364459
855668e0971d4dfd7bef1b6a4133b41b,32208.16,76,0.02455573505654281,0.4003797333209963
70eea00b476a314817cefde4aad4f89a,31994.65,77,0.024878836833602584,0.402733727488751
7681ef142fd2c19048da7430856b5588,31941.81,78,0.025201938610662358,0.4050838339736642
e59aa562b9f8076dd550fcddf0e73491,31574.3,79,0.02552504038772213,0.4074069010505329
88460e8ebdecbfecb5f9601833981930,31546.55,80,0.025848142164781908,0.4097279264317383
0241d4d5d36f10f80c644447315af0bd,31397.7,81,0.02617124394184168,0.4120380002309801
