group_a,group_b,n_a,n_b,rate_a,rate_b,difference_pp,ci_low_pp,ci_high_pp,raw_p_value,sample_size_flag_a,sample_size_flag_b,comparison_eligible,adjusted_p_value,significant_after_fdr
direct_traffic,display,499,118,0.11222444889779559,0.05084745762711865,6.137699127067695,1.3022669420676911,10.973131312067698,0.012852993700838224,strong,strong,True,0.022245566020681545,True
direct_traffic,email,499,493,0.11222444889779559,0.030425963488843813,8.179848540895177,5.022555545816107,11.337141535974249,3.8176276047551583e-07,strong,strong,True,1.7179324221398214e-06,True
direct_traffic,organic_search,499,2296,0.11222444889779559,0.11803135888501742,-0.5806909987221831,-3.6485152932270686,2.4871332957827024,0.7106446622154745,strong,strong,True,0.7771582539359373,False
direct_traffic,other,499,150,0.11222444889779559,0.02666666666666667,8.555778223112892,4.771998840156119,12.339557606069665,9.344237983939425e-06,strong,strong,True,3.504089243977285e-05,True
direct_traffic,other_publicities,499,65,0.11222444889779559,0.046153846153846156,6.607060274394944,0.8029626563262733,12.411157892463615,0.02567361595018604,strong,usable,True,0.04278935991697674,True
direct_traffic,paid_search,499,1586,0.11222444889779559,0.12295081967213115,-1.0726370774335554,-4.2791446411221825,2.1338704862550717,0.5120526872092399,strong,strong,True,0.6063781822214683,False
direct_traffic,referral,499,284,0.11222444889779559,0.08450704225352113,2.7717406644274467,-1.4867232668191996,7.030204595674093,0.20206246554756724,strong,strong,True,0.2755397257466826,False
direct_traffic,social,499,1350,0.11222444889779559,0.05555555555555555,5.666889334224004,2.639867315707963,8.693911352740043,0.00024326358415624556,strong,strong,True,0.0006841788304394407,True
direct_traffic,unknown,499,1159,0.11222444889779559,0.16652286453839515,-5.429841564059956,-8.932708673458482,-1.9269744546614322,0.0023802231245199272,strong,strong,True,0.005355502030169837,True
display,email,118,493,0.05084745762711865,0.030425963488843813,2.0421494138274836,-2.20169597442429,6.285994802079256,0.3456094232428919,strong,strong,True,0.4320117790536149,False
display,organic_search,118,2296,0.05084745762711865,0.11803135888501742,-6.7183901257898775,-10.896101284374787,-2.540678967204968,0.0016220185956517148,strong,strong,True,0.00384162298970143,True
display,other,118,150,0.05084745762711865,0.02666666666666667,2.418079096045198,-2.3104207761657776,7.146578968256173,0.31620152874638663,strong,strong,True,0.40654482267392567,False
display,other_publicities,118,65,0.05084745762711865,0.046153846153846156,0.4693611473272491,-5.9904588023834915,6.92918109703799,0.8867576330373392,strong,usable,True,0.8867576330373392,False
display,paid_search,118,1586,0.05084745762711865,0.12295081967213115,-7.21033620450125,-11.490922073118167,-2.9297503358843326,0.0009619776651992924,strong,strong,True,0.0025464114667040094,True
display,referral,118,284,0.05084745762711865,0.08450704225352113,-3.365958462640248,-8.482230511343202,1.750313586062706,0.1972430216182065,strong,strong,True,0.2755397257466826,False
display,social,118,1350,0.05084745762711865,0.05555555555555555,-0.4708097928436905,-4.618651029341467,3.677031443654086,0.8239480250917861,strong,strong,True,0.8426741165711449,False
display,unknown,118,1159,0.05084745762711865,0.16652286453839515,-11.56754069112765,-16.074402416177183,-7.060678966078118,4.890918610933597e-07,strong,strong,True,2.0008303408364716e-06,True
email,organic_search,493,2296,0.030425963488843813,0.11803135888501742,-8.76053953961736,-10.77060550012869,-6.750473579106033,1.3171489841831536e-17,strong,strong,True,1.9757234762747304e-16,True
email,other,493,150,0.030425963488843813,0.02666666666666667,0.37592968221771444,-2.615024293112009,3.366883657547438,0.8054146395410249,strong,strong,True,0.8426741165711449,False
email,other_publicities,493,65,0.030425963488843813,0.046153846153846156,-1.5727882665002344,-6.8941009263354305,3.748524393334963,0.5623903237441237,strong,usable,True,0.6489119120124504,False
email,paid_search,493,1586,0.030425963488843813,0.12295081967213115,-9.252485618328734,-11.468452680278055,-7.036518556379412,2.755385273798801e-16,strong,strong,True,2.697821235836186e-15,True
email,referral,493,284,0.030425963488843813,0.08450704225352113,-5.4081078764677315,-8.98068878071337,-1.8355269722220928,0.0030076226876692785,strong,strong,True,0.006444905759291311,True
email,social,493,1350,0.030425963488843813,0.05555555555555555,-2.512959206671174,-4.4601832729339295,-0.5657351404084184,0.011425756322895242,strong,strong,True,0.020566361381211436,True
email,unknown,493,1159,0.030425963488843813,0.16652286453839515,-13.609690104955135,-16.236265298959278,-10.983114910950992,3.128120177354433e-24,strong,strong,True,1.4076540798094947e-22,True
organic_search,other,2296,150,0.11803135888501742,0.02666666666666667,9.136469221835075,6.240117632728584,12.032820810941566,6.303126876372772e-10,strong,strong,True,3.151563438186386e-09,True
organic_search,other_publicities,2296,65,0.11803135888501742,0.046153846153846156,7.187751273117127,1.9190308147039683,12.456471731530286,0.007498745039424371,strong,usable,True,0.014060146948920696,True
organic_search,paid_search,2296,1586,0.11803135888501742,0.12295081967213115,-0.4919460787113722,-2.5784639590141825,1.5945718015914383,0.6440038762754488,strong,strong,True,0.7245043608098799,False
organic_search,referral,2296,284,0.11803135888501742,0.08450704225352113,3.3524316631496296,-0.14133151751382286,6.846194843813083,0.06001566518795976,strong,strong,True,0.09002349778193965,False
organic_search,social,2296,1350,0.11803135888501742,0.05555555555555555,6.247580332946187,4.4490452597791705,8.046115406113204,9.873353669939716e-12,strong,strong,True,7.405015252454788e-11,True
organic_search,unknown,2296,1159,0.11803135888501742,0.16652286453839515,-4.849150565337773,-7.36747224751758,-2.3308288831579658,0.00016064706672329175,strong,strong,True,0.00048194120016987525,True
other,other_publicities,150,65,0.02666666666666667,0.046153846153846156,-1.948717948717949,-7.664035593944302,3.766599696508405,0.503956606071254,strong,usable,True,0.6063781822214683,False
other,paid_search,150,1586,0.02666666666666667,0.12295081967213115,-9.628415300546447,-12.671275366628631,-6.585555234464263,5.580494105576278e-10,strong,strong,True,3.1390279343866564e-09,True
other,referral,150,284,0.02666666666666667,0.08450704225352113,-5.784037558685445,-9.920681328638805,-1.647393788732085,0.006134429059645701,strong,strong,True,0.012002143812350286,True
