group_a,group_b,n_a,n_b,rate_a,rate_b,difference_pp,ci_low_pp,ci_high_pp,raw_p_value,sample_size_flag_a,sample_size_flag_b,comparison_eligible,adjusted_p_value,significant_after_fdr
other,social,150,1350,0.02666666666666667,0.05555555555555555,-2.8888888888888884,-5.741987016599576,-0.0357907611782015,0.04719447063429,strong,strong,True,0.07323279926010516,False
other,unknown,150,1159,0.02666666666666667,0.16652286453839515,-13.985619787172848,-17.33933185171734,-10.631907722628355,2.9975791509290957e-16,strong,strong,True,2.697821235836186e-15,True
other_publicities,paid_search,65,1586,0.046153846153846156,0.12295081967213115,-7.679697351828499,-13.030357135718646,-2.3290375679383524,0.004906669804647901,usable,strong,True,0.010036370054961616,True
other_publicities,referral,65,284,0.046153846153846156,0.08450704225352113,-3.835319609967497,-9.875384545104835,2.204745325169841,0.21330174639482935,usable,strong,True,0.28231113493433296,False
other_publicities,social,65,1350,0.046153846153846156,0.05555555555555555,-0.9401709401709396,-6.185238305565582,4.304896425223703,0.7253477036735415,usable,strong,True,0.7771582539359373,False
other_publicities,unknown,65,1159,0.046153846153846156,0.16652286453839515,-12.0369018384549,-17.57025049483405,-6.50355318207575,2.0117426487101874e-05,usable,strong,True,6.963724553227573e-05,True
paid_search,referral,1586,284,0.12295081967213115,0.08450704225352113,3.844377741861002,0.22822978905298885,7.460525694669015,0.0371906249995018,strong,strong,True,0.05977064732062789,False
paid_search,social,1586,1350,0.12295081967213115,0.05555555555555555,6.739526411657559,4.713477729258772,8.765575094056347,7.044827712959012e-11,strong,strong,True,4.52881781547365e-10,True
paid_search,unknown,1586,1159,0.12295081967213115,0.16652286453839515,-4.357204486626401,-7.042737757501091,-1.6716712157517108,0.0014728109590941636,strong,strong,True,0.003682027397735409,True
referral,social,284,1350,0.08450704225352113,0.05555555555555555,2.895148669796557,-0.5628417236525247,6.353139063245639,0.10080792757232468,strong,strong,True,0.14633408841143905,False
referral,unknown,284,1159,0.08450704225352113,0.16652286453839515,-8.201582228487403,-12.082936791872612,-4.320227665102195,3.449737070131009e-05,strong,strong,True,0.00011088440582563956,True
social,unknown,1350,1159,0.05555555555555555,0.16652286453839515,-11.09673089828396,-13.565183955071442,-8.628277841496478,1.2419001265406338e-18,strong,strong,True,2.794275284716426e-17,True

