segment,n_orders,late_orders,on_time_orders,late_rate,late_rate_ci_low,late_rate_ci_high,late_review_penalty,penalty_ci_low,penalty_ci_high,sample_size_flag
cama_mesa_banho,9112,786,8326,0.08625987708516242,0.0806683687772751,0.09220008949279213,-1.636544281104777,-1.7408982041601193,-1.5129559050132058,strong
beleza_saude,8569,758,7811,0.08845839654568795,0.08262902377000898,0.09465658988809876,-1.7288526644257303,-1.8598910755156992,-1.6118725275463976,strong
esporte_lazer,7448,574,6874,0.07706766917293233,0.07122644580081844,0.08334493969977713,-1.9037944321834837,-2.0512173832823577,-1.7728357827657415,strong
informatica_acessorios,6481,493,5988,0.07606850794630458,0.06986235736767023,0.08277691147279,-1.6471474050196409,-1.786395424384943,-1.4924618379761552,strong
moveis_decoracao,6143,523,5620,0.08513755494058278,0.07841513784897407,0.09237850728631335,-1.6480265440961328,-1.7877388016031248,-1.5109302256350239,strong
utilidades_domesticas,5646,390,5256,0.06907545164718384,0.06274971199384777,0.07598718257811202,-1.6126039105491161,-1.7846910490574877,-1.4567698088631313,strong
relogios_presentes,5435,456,4979,0.08390064397424103,0.0768206897567506,0.09156838092215025,-1.8555252234824864,-2.0059317004224764,-1.7032000520607602,strong
telefonia,4049,344,3705,0.08495924919733268,0.0767595517297447,0.09394573389522219,-1.494374352697486,-1.678885521608135,-1.3217437741267302,strong
automotivo,3773,323,3450,0.08560826928173867,0.0770968670730271,0.09496263447237399,-1.7077991654327636,-1.8986587696863637,-1.5107758334455066,strong
brinquedos,3760,275,3485,0.07313829787234043,0.0652446869597751,0.08190323754239735,-1.980151297769662,-2.156414242859006,-1.7933796139298293,strong
cool_stuff,3500,235,3265,0.06714285714285714,0.05931711217814913,0.07591773345900976,-1.884474275846339,-2.0731254276497997,-1.662715046756378,strong
ferramentas_jardim,3388,270,3118,0.07969303423848878,0.07104267912398816,0.08929543379293507,-1.7278312308459838,-1.9351689413916804,-1.5449916850782788,strong
perfumaria,3062,226,2836,0.07380796864794252,0.06507161012744854,0.08361235313138156,-1.8446287928903975,-2.066685324275747,-1.62196408845813,strong
bebes,2735,249,2486,0.09104204753199269,0.0808268689403531,0.10240442296391794,-1.9765893824695406,-2.1928160348554315,-1.7729736322603369,strong
eletronicos,2484,245,2239,0.09863123993558776,0.08751818271753958,0.11098379861642718,-1.5294619500323572,-1.757222748858364,-1.3146731412529284,strong
papelaria,2229,173,2056,0.07761327949753252,0.06721822874417623,0.08946170813117528,-1.9058767796495806,-2.1256721480623466,-1.6837150817570459,strong
fashion_bolsas_e_acessorios,1804,119,1685,0.06596452328159645,0.05540761445766633,0.07836598479281999,-1.8952871356257637,-2.184561192429494,-1.6168618307857272,strong
pet_shop,1673,103,1570,0.06156604901374776,0.05102201070709677,0.07411889496222844,-1.7361387669284518,-2.083409653082679,-1.3910730628903591,strong
unknown,1344,119,1225,0.08854166666666667,0.07450308976731486,0.10492562363069523,-1.7902761104441782,-2.0842989195678268,-1.4873793517406966,strong
moveis_escritorio,1241,112,1129,0.09024979854955681,0.07554658905546435,0.1074819060241747,-1.1948429393901048,-1.5080880085094266,-0.9183151374478049,strong
malas_acessorios,1009,54,955,0.053518334985133795,0.041247983233694135,0.06917547726615267,-1.506864456079116,-2.02090120224937,-1.099105584642234,strong
consoles_games,1004,80,924,0.0796812749003984,0.06448818996958278,0.0980785087772717,-1.6372294372294371,-1.992563582251082,-1.3029991883116883,strong
eletrodomesticos,744,50,694,0.06720430107526881,0.05134561148729632,0.08750929899660026,-1.410999039385207,-1.9568950528338138,-0.8822216618635934,strong
construcao_ferramentas_construcao,722,65,657,0.09002770083102493,0.07126237312402377,0.11313252082175897,-1.6990867579908673,-2.088305526284979,-1.3048106193654143,strong
eletroportateis,602,37,565,0.061461794019933555,0.0449165330208257,0.0835683332546139,-1.6331021286773497,-2.0795084907916768,-1.1414075580004783,strong
instrumentos_musicais,602,54,548,0.08970099667774087,0.06940025754654272,0.11520490143085718,-2.26007028926737,-2.6098759799945928,-1.8569461340902946,strong
livros_interesse_geral,488,33,455,0.06762295081967214,0.048553409273391204,0.09344653312299704,-1.5227439227439232,-2.1800166500166505,-0.9341558441558441,strong
casa_construcao,469,39,430,0.08315565031982942,0.06142517089823289,0.11165918389758707,-1.3190220632081098,-1.8424224806201552,-0.8011389385807993,strong
alimentos,431,43,388,0.09976798143851508,0.07491469352305245,0.13169269636186656,-1.2210501078877969,-1.733476684248382,-0.7001768161112446,strong
moveis_sala,403,33,370,0.08188585607940446,0.058899533824987825,0.11276797278346504,-1.7697788697788694,-2.4069881244881244,-1.2358742833742835,strong
casa_conforto,352,38,314,0.10795454545454546,0.07966737979414835,0.14470630360210157,-1.6050955414012735,-2.0777866242038217,-1.1412546094535707,strong
audio,341,44,297,0.12903225806451613,0.09754174586611589,0.16878777012299426,-2.1456228956228953,-2.5830597643097644,-1.730071548821549,strong
bebidas,281,19,262,0.06761565836298933,0.04371089781186638,0.10318295322346713,-1.9606267577340302,-2.6514212535154678,-1.3008989554037769,strong
market_place,266,13,253,0.04887218045112782,0.02878053889555724,0.08180831928476914,-1.4283976892672543,-2.279712678625722,-0.6065217391304348,strong
livros_tecnicos,253,28,225,0.11067193675889328,0.07768792105855396,0.15530195174259134,-0.9173015873015875,-1.4954246031746032,-0.35222222222222266,strong
moveis_cozinha_area_de_servico_jantar_e_jardim,235,11,224,0.04680851063829787,0.026335229786064604,0.08185980029074517,-2.0637175324675328,-2.8487520292207797,-1.1828125000000003,strong
fashion_calcados,229,14,215,0.0611353711790393,0.036762803552241964,0.09998886851666783,-2.0925249169435216,-2.830685215946844,-1.295610465116279,strong
eletrodomesticos_2,226,16,210,0.07079646017699115,0.04404435946618167,0.11189556105379321,-2.1797619047619046,-2.8809523809523814,-1.4592113095238095,strong
construcao_ferramentas_iluminacao,226,21,205,0.09292035398230089,0.06157950770852807,0.13786866433103576,-1.5038327526132407,-2.1670847851335657,-0.8339953542392582,strong
industria_comercio_e_negocios,226,18,208,0.07964601769911504,0.05097144346786577,0.12237177765994467,-1.4113247863247862,-2.1225293803418808,-0.7408787393162393,strong
alimentos_bebidas,218,14,204,0.06422018348623854,0.03863652350327944,0.10489597484019002,-1.4702380952380953,-2.306547619047619,-0.6760679271708685,strong
telefonia_fixa,209,10,199,0.04784688995215311,0.02619413461984277,0.0858209725533283,-1.8552763819095475,-2.915326633165829,-0.6349246231155785,strong
artes,190,15,175,0.07894736842105263,0.04842449218117986,0.1261586905217419,-1.2057142857142855,-2.1098571428571424,-0.3094285714285727,strong
construcao_ferramentas_jardim,187,13,174,0.06951871657754011,0.041073915223379,0.11529388349865755,-1.2966401414677278,-2.2071728558797523,-0.3320623342175066,strong
pcs,174,11,163,0.06321839080459771,0.03566345115402998,0.10964270519474568,-1.9860568878973788,-3.0538482989403235,-0.8571388733965426,strong
artigos_de_natal,123,11,112,0.08943089430894309,0.05067093036620061,0.15305945133198043,-1.522727272727273,-2.468831168831169,-0.5367491883116886,strong
fashion_underwear_e_moda_praia,116,15,101,0.12931034482758622,0.07995391352718764,0.20243132405013073,-2.2303630363036304,-2.815841584158416,-1.5596699669967,strong

