seller_state,gmv_proxy,sellers,orders,gmv_share,gmv_per_seller,cumulative_share
SP,8753396.21,1849,70188,0.6440277867201597,4734.124505137913,0.6440277867201597
PR,1261887.21,349,7673,0.09284287006434698,3615.722664756447,0.7368706567845067
MG,1011564.74,244,7930,0.07442548983240344,4145.757131147541,0.8112961466169102
RJ,843984.22,171,4353,0.062095817005562035,4935.580233918128,0.8733919636224722
SC,632426.07,190,3667,0.04653050682898641,3328.5582631578945,0.9199224704514586
RS,378559.54,129,1989,0.027852373734605775,2934.5700775193795,0.9477748441860644
BA,285561.56,19,569,0.02101008283494071,15029.555789473685,0.968784927021005
DF,97749.48,30,824,0.0071918806994624215,3258.316,0.9759768077204675
PE,91493.85,9,406,0.006731625108742368,10165.983333333334,0.9827084328292098
GO,66399.21,40,463,0.004885296544376014,1659.98025,0.9875937293735858
ES,47689.61,23,318,0.0035087448621096513,2073.461304347826,0.9911024742356954
MA,36408.95,1,392,0.002678774606194246,36408.95,0.9937812488418897
CE,20240.64,13,91,0.0014891973661728642,1556.9723076923076,0.9952704462080625
PB,17095.0,6,36,0.001257758103238095,2849.1666666666665,0.9965282043113006
MT,17070.72,4,137,0.0012559717115009426,4267.68,0.9977841760228016
RN,9992.6,5,51,0.0007352017328117571,1998.52,0.9985193777556133
MS,8551.69,5,49,0.0006291873292705578,1710.3380000000002,0.9991485650848838
RO,4762.2,2,14,0.0003503770482152943,2381.1,0.9994989421330991
PI,2522.0,1,12,0.0001855551878541372,2522.0,0.9996844973209532
SE,1606.2,2,9,0.00011817555223287676,803.1,0.9998026728731861
PA,1238.0,1,8,9.108537770159472e-05,1238.0,0.9998937582508878
AM,1177.0,1,3,8.659732597316396e-05,1177.0,0.9999803555768609
AC,267.0,1,1,1.964442313919692e-05,267.0,1.0000000000000002

