seller_id,month,orders,items,gmv_proxy,aov,active_flag,customer_count,category_count,avg_review_score_proxy,review_eligible_orders
004c9cd9d87a3c30c522c48c4fc07416,2018-05,2,2,349.5,174.75,1,2,1,4.5,2.0
00720abe85ba0859807595bbf045a33b,2018-01,1,2,156.0,156.0,1,1,1,1.0,1.0
00720abe85ba0859807595bbf045a33b,2018-02,1,1,78.0,78.0,1,1,1,5.0,1.0
00720abe85ba0859807595bbf045a33b,2018-03,2,4,54.0,27.0,1,2,1,3.0,2.0
00720abe85ba0859807595bbf045a33b,2018-04,3,6,151.7,50.56666666666666,1,3,1,4.666666666666667,3.0
00720abe85ba0859807595bbf045a33b,2018-05,3,5,269.6,89.86666666666667,1,3,1,4.0,3.0
00720abe85ba0859807595bbf045a33b,2018-06,1,6,88.2,88.2,1,1,1,,
00720abe85ba0859807595bbf045a33b,2018-07,1,1,78.0,78.0,1,1,1,5.0,1.0
00720abe85ba0859807595bbf045a33b,2018-08,1,1,132.0,132.0,1,1,1,1.0,1.0
00ab3eff1b5192e5f1a63bcecfee11c8,2017-03,1,1,98.0,98.0,1,1,1,5.0,1.0
00d8b143d12632bad99c0ad66ad52825,2018-03,1,1,86.0,86.0,1,1,1,5.0,1.0
00ee68308b45bc5e2660cd833c3f81cc,2017-09,2,3,240.0,120.0,1,2,1,5.0,2.0
00ee68308b45bc5e2660cd833c3f81cc,2017-10,11,11,1016.0,92.36363636363636,1,11,1,4.2727272727272725,11.0
00ee68308b45bc5e2660cd833c3f81cc,2017-11,12,17,1735.0,144.58333333333334,1,12,2,4.5,12.0
00ee68308b45bc5e2660cd833c3f81cc,2017-12,16,19,1777.0,111.0625,1,16,2,4.5,16.0
00ee68308b45bc5e2660cd833c3f81cc,2018-01,42,61,6534.0,155.57142857142858,1,42,2,4.463414634146342,42.0
00ee68308b45bc5e2660cd833c3f81cc,2018-02,17,20,3348.0,196.94117647058823,1,17,2,3.411764705882353,17.0
00ee68308b45bc5e2660cd833c3f81cc,2018-03,17,19,2688.0,158.11764705882354,1,17,2,4.470588235294118,17.0
00ee68308b45bc5e2660cd833c3f81cc,2018-04,12,14,2312.0,192.66666666666666,1,12,1,4.375,8.0
00ee68308b45bc5e2660cd833c3f81cc,2018-05,1,1,79.0,79.0,1,1,1,5.0,1.0
00ee68308b45bc5e2660cd833c3f81cc,2018-06,3,4,214.0,71.33333333333333,1,3,1,5.0,3.0
00ee68308b45bc5e2660cd833c3f81cc,2018-07,1,1,119.0,119.0,1,1,1,,
00ee68308b45bc5e2660cd833c3f81cc,2018-08,1,2,198.0,198.0,1,1,1,4.0,1.0
00fc707aaaad2d31347cf883cd2dfe10,2018-01,2,3,260.4,130.2,1,2,1,5.0,2.0
00fc707aaaad2d31347cf883cd2dfe10,2018-02,72,99,9096.6,126.34166666666667,1,71,1,3.9214285714285713,70.0
00fc707aaaad2d31347cf883cd2dfe10,2018-03,17,19,1745.7,102.68823529411765,1,17,1,4.352941176470588,17.0
00fc707aaaad2d31347cf883cd2dfe10,2018-04,9,11,1195.8,132.86666666666667,1,9,1,4.714285714285714,7.0
00fc707aaaad2d31347cf883cd2dfe10,2018-05,1,1,190.0,190.0,1,1,1,4.0,1.0
00fc707aaaad2d31347cf883cd2dfe10,2018-06,2,2,196.4,98.2,1,2,1,4.0,1.0
010543a62bd80aa422851e79a3bc7540,2017-07,1,1,708.0,708.0,1,1,1,4.0,1.0
010543a62bd80aa422851e79a3bc7540,2017-08,1,1,708.0,708.0,1,1,1,5.0,1.0
010da0602d7774602cd1b3f5fb7b709e,2018-06,1,5,849.5,849.5,1,1,1,1.0,1.0
011b0eaba87386a2ae96a7d32bb531d1,2016-10,1,2,99.98,99.98,1,1,1,4.0,1.0
01266d4c46afa519678d16a8b683d325,2018-08,3,3,90.25,30.083333333333332,1,3,1,5.0,3.0
013900e863eace745d3ec7614cab5b1a,2017-03,2,2,146.0,73.0,1,2,1,5.0,2.0
013900e863eace745d3ec7614cab5b1a,2017-08,1,3,162.0,162.0,1,1,1,5.0,1.0
013900e863eace745d3ec7614cab5b1a,2017-11,2,2,120.8,60.4,1,2,1,5.0,2.0
