cohort_month,age_month,eligible_flag,cohort_sellers,retained_sellers,retention_rate
2018-03,3,1,113,59.0,0.5221238938053098
2018-03,4,1,113,50.0,0.4424778761061947
2018-03,5,1,113,48.0,0.4247787610619469
2018-03,6,1,113,0.0,0.0
2018-04,0,1,202,202.0,1.0
2018-04,1,1,202,121.0,0.599009900990099
2018-04,2,1,202,105.0,0.5198019801980198
2018-04,3,1,202,107.0,0.5297029702970297
2018-04,4,1,202,97.0,0.4801980198019802
2018-04,5,1,202,0.0,0.0
2018-04,6,0,202,,
2018-05,0,1,172,172.0,1.0
2018-05,1,1,172,97.0,0.563953488372093
2018-05,2,1,172,98.0,0.5697674418604651
2018-05,3,1,172,95.0,0.5523255813953488
2018-05,4,1,172,1.0,0.005813953488372093
2018-05,5,0,172,,
2018-05,6,0,172,,
2018-06,0,1,191,191.0,1.0
2018-06,1,1,191,107.0,0.5602094240837696
2018-06,2,1,191,114.0,0.5968586387434555
2018-06,3,1,191,0.0,0.0
2018-06,4,0,191,,
2018-06,5,0,191,,
2018-06,6,0,191,,
2018-07,0,1,190,190.0,1.0
2018-07,1,1,190,107.0,0.5631578947368421
2018-07,2,1,190,0.0,0.0
2018-07,3,0,190,,
2018-07,4,0,190,,
2018-07,5,0,190,,
2018-07,6,0,190,,
2018-08,0,1,155,155.0,1.0
2018-08,1,1,155,0.0,0.0
2018-08,2,0,155,,
2018-08,3,0,155,,
2018-08,4,0,155,,
2018-08,5,0,155,,
2018-08,6,0,155,,
