Warning: truncated output (original token count: 37718)
Total output lines: 1285

purchase_month,category,gmv_proxy,orders,avg_review,late_rate,active_sellers,gmv_per_seller,gmv_share,gmv_growth
2016-09,beleza_saude,134.97,1,1.0,1.0,1,134.97,0.5048249551166966,
2016-09,moveis_decoracao,72.89,1,1.0,,1,72.89,0.27262866546977854,
2016-09,telefonia,59.5,1,1.0,,1,59.5,0.22254637941352481,
2016-10,alimentos,79.9,1,5.0,0.0,1,79.9,0.0016138916684812006,
2016-10,audio,156.99,2,5.0,0.0,1,156.99,0.003171024443490159,
2016-10,automotivo,1833.25,11,2.75,0.0,11,166.6590909090909,0.03702962329465784,
2016-10,bebes,1630.16,11,3.4285714285714284,0.0,9,181.1288888888889,0.03292742981591131,
2016-10,beleza_saude,4552.51,44,3.391304347826087,0.020833333333333332,14,325.17928571428575,0.09195566908231978,32.72979180558643
2016-10,brinquedos,4465.09,25,3.72,0.0,11,405.91727272727275,0.0901898817273933,
2016-10,cama_mesa_banho,478.99,5,3.375,0.0,4,119.7475,0.009675068464152819,
2016-10,climatizacao,1707.0900000000001,5,3.8,0.0,2,853.5450000000001,0.034481330767804415,
2016-10,consoles_games,3882.26,10,3.4,0.0,4,970.565,0.07841736006104914,
2016-10,cool_stuff,1111.0,8,3.75,0.0,8,138.875,0.02244097176073359,
2016-10,eletronicos,1306.99,2,3.0,0.0,2,653.495,0.026399753088713947,
2016-10,esporte_lazer,3333.64,19,3.9473684210526314,0.0,16,208.3525,0.0673358425746642,
2016-10,fashion_bolsas_e_acessorios,508.3,8,3.2222222222222223,0.0,5,101.66,0.010267098061188914,
2016-10,fashion_calcados,29.99,1,5.0,0.0,1,29.99,0.0006057648452784881,
2016-10,fashion_roupa_feminina,54.9,1,5.0,0.0,1,54.9,0.0011089193066285096,
2016-10,fashion_roupa_masculina,24.9,1,1.0,0.0,1,24.9,0.0005029524724052802,
2016-10,ferramentas_jardim,1359.88,5,4.2,0.0,5,271.976,0.0274680726174495,
2016-10,fraldas_higiene,134.9,1,5.0,0.0,1,134.9,0.002724830864557121,
2016-10,industria_comercio_e_negocios,359.6,3,4.25,0.0,1,359.6,0.007263522452889109,
2016-10,informatica_acessorios,1399.32,18,2.761904761904762,0.047619047619047616,9,155.48,0.028264717015508305,
2016-10,livros_interesse_geral,119.5,1,5.0,,1,119.5,0.002413767889655863,
2016-10,livros_tecnicos,267.0,1,1.0,,1,267.0,0.00539310482458674,
2016-10,market_place,1306.19,7,4.538461538461538,0.0,7,186.59857142857143,0.02638359397313466,
2016-10,moveis_decoracao,5807.89,51,3.5757575757575757,0.0,34,170.82029411764708,0.11731295722722504,78.68020304568529
