purchase_month,gmv_proxy,customer_paid_value,orders,active_sellers,active_customers,items,delivered_orders,late_orders,avg_review_score,aov,seller_productivity,late_delivery_rate,low_review_rate,gmv_proxy_mom_pct,orders_mom_pct,aov_mom_pct,active_sellers_mom_pct
2016-09,267.36,354.75,3,3,3,6,1,1,1.0,89.12,89.12,1.0,1.0,,,,
2016-10,49507.66,56808.84,308,143,305,363,265,3,3.561128526645768,160.73915584415585,346.2074125874126,0.011320754716981131,0.28703703703703703,184.17227707959307,101.66666666666667,0.8036260754505817,46.666666666666664
2016-12,10.9,19.62,1,1,1,1,1,0,5.0,10.9,10.9,0.0,0.0,-0.9997798320502322,-0.9967532467532467,-0.9321882714715258,-0.993006993006993
2017-01,120312.87,137188.49,789,227,755,955,750,23,4.062658227848101,152.4877946768061,530.0126431718062,0.030666666666666665,0.15375,11036.877981651376,788.0,12.989705933651935,226.0
2017-02,247303.02,286280.62,1733,427,1708,1951,1653,53,4.015837104072398,142.70226197345642,579.163981264637,0.03206291591046582,0.16067415730337078,1.0554992994515051,1.1964512040557667,-0.06417256360805701,0.8810572687224669
2017-03,374344.3,432048.59,2641,499,2601,3000,2546,142,4.074596016535137,141.74339265429762,750.1889779559118,0.05577376276512176,0.14056674123788218,0.5137069494743736,0.5239469128678591,-0.006719370148015935,0.16861826697892268
2017-04,359927.23,412422.24,2391,506,2359,2684,2303,181,4.046082949308755,150.53418235048096,711.3186363636363,0.07859313938341293,0.15224625623960067,-0.03851286102125773,-0.0946611132146914,0.06201904393260471,0.014028056112224352
2017-05,506071.14,586190.95,3660,583,3588,4136,3546,128,4.142116748499728,138.27080327868853,868.0465523156089,0.03609701071630006,0.12594594594594594,0.4060373815006997,0.5307402760351319,-0.08146574339667412,0.15217391304347827
2017-06,433038.6,502963.04,3217,539,3154,3583,3135,121,4.147762585456806,134.6094497979484,803.4111317254174,0.03859649122807018,0.12480739599383667,-0.14431279365189653,-0.12103825136612023,-0.026479584944339774,-0.07547169811320753
2017-07,498031.48,584971.62,3969,606,3894,4519,3872,133,4.175396825396825,125.48034265558074,821.8341254125412,0.034349173553719005,0.12046696472925982,0.1500856505632524,0.23375815977618908,-0.06781921444646444,0.12430426716141008
2017-08,573971.68,668204.6,4293,708,4211,4910,4193,139,4.237436016751977,133.69943629163757,810.6944632768362,0.03315048891008824,0.11267605633802817,0.15248072270451685,0.08163265306122458,0.06550104551927038,0.16831683168316824
2017-09,624401.6900000001,720398.91,4243,731,4170,4831,4150,216,4.187838155728064,147.1604265849635,854.1746785225719,0.052048192771084335,0.12275379229871645,0.08786149518735842,-0.011646866992778948,0.10068098016481963,0.03248587570621475
2017-10,664219.43,769312.37,4568,776,4501,5322,4478,237,4.124537339429566,145.40705560420315,855.9528737113403,0.05292541313086199,0.13042539408335133,0.06376943022047232,0.07659674758425639,-0.011914690800029937,0.061559507523939905
2017-11,1010271.37,1179143.77,7451,965,7342,8665,7289,1043,3.9108288770053474,135.58869547711717,1046.9133367875647,0.14309233090958978,0.1855779427359491,0.5209903901787394,0.6311295971978985,-0.06752327173044115,0.24355670103092786
2017-12,743914.17,863547.23,5624,861,5557,6308,5513,462,4.018888096935139,132.27492354196303,864.01181184669,0.08380192272809722,0.16199541688700864,-0.2636491619078545,-0.24520198631056234,-0.02443988360160443,-0.1077720207253886
2018-01,950030.36,1107301.89,7220,970,7120,8208,7069,464,4.041799750034717,131.58315235457064,979.4127422680413,0.06563870420144292,0.153115971935617,0.277069853367627,0.28378378378378377,-0.00522979842942739,0.1265969802555169
2018-02,844178.71,986908.96,6694,947,6537,7672,6555,1048,3.8273131494804153,126.10975649835673,891.42419218585,0.15987795575896263,0.2057074910820452,-0.11141922874970023,-0.07285318559556786,-0.04159647917132292,-0.023711340206185594
2018-03,983213.4400000001,1155126.82,7188,996,7096,8217,7003,1496,3.7535674314493566,136.78539788536452,987.1620883534138,0.21362273311437954,0.22548883649979198,0.16469821893518266,0.07379743053480725,0.08465357228048331,0.05174234424498425
2018-04,996647.75,1159698.04,6934,1123,6878,7975,6798,361,4.162501816068575,143.73345111047016,887.4868655387355,0.05310385407472786,0.12840466926070038,0.013663676118991885,-0.035336672231496946,0.050795284675989816,0.1275100401606426
2018-05,996517.68,1149781.82,6853,1115,6795,7925,6749,556,4.194034215528586,145.41334889829272,893.7378295964126,0.08238257519632539,0.11843445365924632,-0.00013050749374587944,-0.011681569079896148,0.011687590987649932,-0.007123775601068583
2018-06,865124.31,1022677.11,6160,1175,6121,7078,6099,83,4.2774792379091355,140.44225811688312,736.2760085106383,0.013608788325955074,0.10734554888924923,-0.13185252267676772,-0.101123595505618,-0.03418593147790416,0.053811659192825045
2018-07,895507.22,1058728.03,6273,1261,6211,7092,6159,276,4.263246358251961,142.75581380519688,710.1563996827914,0.044812469556746226,0.11013986013986014,0.0351197043578626,0.01834415584415594,0.01647335865525812,0.07319148936170206
2018-08,854686.33,1003308.47,6452,1278,6411,7248,6351,660,4.256206630686199,132.46843304401736,668.7686463223787,0.10392064241851677,0.10887592137592138,-0.04558409925494511,0.028534991232265217,-0.07206277970028996,0.013481363996827866
2018-09,145.0,166.46,1,1,1,1,0,0,1.8,145.0,145.0,,0.75,-0.9998303471169359,-0.999845009299442,0.09460040152976346,-0.9992175273865415
