decile,sellers,gmv_proxy,gmv_share
D1,310,9183174.76,0.6756485795754048
D2,309,2055983.47,0.15126819944522235
D3,310,1035757.79,0.07620548425647738
D4,309,549917.43,0.04045996511812622
D5,310,329944.18,0.024275517169420793
D6,309,202961.64,0.01493282523290395
D7,309,116884.68000000001,0.008599745739361899
D8,310,67209.73,0.004944930244161712
D9,309,36112.91,0.002656993576133842
D10,310,13697.11,0.0010077596427869868

