mql_id,seller_id,won_date,first_sale_date,origin,days_to_first_sale,valid_activation_link
5420aad7fec3549a85876ba1c529bd84,2c43fb513632d29b3b58df74816f1b06,2018-02-26 19:58:54,2018-06-20 21:40:18,organic_search,114.07041666666667,True
327174d3648a2d047e8940d7d15204ca,612170e34b97004b3ba37eae81836b4c,2018-06-05 17:27:23,2018-06-11 14:32:25,organic_search,5.87849537037037,True
ffe640179b554e295c167a2f6be528e0,ed8cb7b190ceb6067227478e48cf8dde,2018-07-03 20:17:45,2018-07-19 15:36:35,unknown,15.80474537037037,True
b94fba7670eeb44dce2a0d8eb790e9f5,1c742ac33582852aaf3bcfbf5893abcf,2018-02-07 18:04:05,2018-06-22 16:07:51,organic_search,134.9192824074074,True
b02c89251106e1fdd9d92744be9f94f2,44ed138eca6214d572ce1d813fb0049b,2018-04-17 17:01:57,2018-08-08 00:43:30,unknown,112.32052083333333,True
0173e8d8b1d94a355b440fb67388f532,87d73636a3acf123e842bb890a4db036,2018-04-24 03:00:00,2018-07-25 15:17:58,paid_search,92.51247685185186,True
408a9c4a79800232ac656249af3162eb,b566ab0ef88016e00422755e305103c6,2018-02-23 13:54:40,2018-03-11 10:26:01,paid_search,15.855104166666667,True
c556184b3fe2087834850b68fa435cee,2d2322d842118867781fc737e96d59a1,2018-05-22 13:24:08,2018-06-08 10:35:03,direct_traffic,16.88258101851852,True
ab11f58a6bf7036a656364b0ba68fb74,9e7c5f4d7770eab65738cca38f9efccf,2018-04-10 03:00:00,2018-06-01 12:50:14,paid_search,52.40988425925926,True
450b97a48568c3118ff397f73abe4e4a,df91910b6a03bb2e3358fa6a35e32f6f,2018-04-10 19:21:54,2018-06-24 09:54:00,referral,74.605625,True
ed3d878bf23177e7075ce07578841047,249f0e9905a6e06ad6c6bea7547ab9f6,2018-05-11 19:03:19,2018-06-25 01:10:48,organic_search,44.255196759259256,True
119ce5d79e3c006a9e46967bff271cb2,b494891378bd8f4560abe576c52deacd,2018-06-19 14:08:22,2018-06-28 18:50:51,organic_search,9.196168981481481,True
0b97be8b4b408a3a0780a32e0a143a7f,7d13fca15225358621be4086e1eb0964,2018-02-08 17:20:14,2018-02-14 21:11:44,unknown,6.160763888888889,True
4151b0029636a1c55afcce9283ac7902,e819bcfade7b5d88a27325eb6cfd62c5,2018-02-12 13:18:13,2018-07-20 14:35:51,organic_search,158.05391203703704,True
fc4166d1b1e192f650ee2d807b54c943,70c27847eca8195c983ed7e798c56743,2018-02-08 20:57:44,2018-04-03 09:02:42,social,53.50344907407408,True
85e43237b3fb87d881c757f44f1b0357,556a6409838156ea299c9d1f9e2dde43,2018-04-06 20:52:54,2018-06-19 10:11:16,paid_search,73.5544212962963,True
9ce2e101957dc53e3e89cc8e1599aa60,a4fc6eadaff1576af888509a53420f6a,2018-04-13 12:27:48,2018-05-22 18:15:54,paid_search,39.24173611111111,True
4bb1ec1ff58ad39558e8468054bfc469,4fae87d32467e18eb46e4a76a0a0b9ce,2018-07-19 18:06:07,2018-08-17 21:45:54,organic_search,29.152627314814815,True
e428d5580f729d23e6070e43c492e424,8b181ee5518df84f18f4e1a43fe07923,2018-04-25 03:00:00,2018-05-30 09:21:06,unknown,35.264652777777776,True
e3c91316d8f28b18d96869aebbb7c3ec,d594982fd877af63ace38ea1fca27c76,2018-06-05 17:20:34,2018-06-29 18:11:23,organic_search,24.03528935185185,True
b055fc7de322786cd9ddc996cb6e72ff,398cb257329ef7af7f1943a8974a3cbc,2018-03-06 12:25:29,2018-07-20 09:42:40,organic_search,135.88693287037037,True
d955b97b28c2966211c9de2fe22fefbd,26e2c91ef821e1ff8985f408788fe35b,2018-02-06 15:46:14,2018-02-20 09:43:30,direct_traffic,13.748101851851851,True
1d7cc0f1d0b54eac3609c5222246595b,dedcab67899479e4ea5dcc4eba47f587,2018-05-15 18:05:25,2018-06-10 22:28:53,unknown,26.182962962962964,True
78f9eb91b8c7b3b3967fab18283ec614,ca4b77513ac2040591b0d8fae6958380,2018-06-11 12:40:42,2018-07-15 13:52:04,social,34.049560185185186,True
