days_since_won,at_risk,events,censored,survival,cumulative_activation
0.0,825,0,0,1.0,0.0
3.2097,825,1,0,0.9987878787878788,0.00121212121212122
4.04,824,1,0,0.9975757575757576,0.00242424242424244
4.1617,823,1,0,0.9963636363636363,0.0036363636363636598
5.3648,822,1,0,0.9951515151515151,0.00484848484848488
5.8785,821,1,0,0.9939393939393939,0.0060606060606061
5.9463,820,1,0,0.9927272727272727,0.0072727272727273196
6.1608,819,1,0,0.9915151515151515,0.00848484848484854
6.2909,818,1,0,0.9903030303030302,0.00969696969696976
6.4417,817,1,0,0.9890909090909091,0.010909090909090868
6.5476,816,1,0,0.9878787878787879,0.012121212121212088
6.6111,815,1,0,0.9866666666666667,0.013333333333333308
6.6892,814,1,0,0.9854545454545455,0.014545454545454528
6.7493,813,1,0,0.9842424242424243,0.015757575757575748
6.7541,812,1,0,0.983030303030303,0.016969696969696968
6.7894,811,1,0,0.9818181818181818,0.018181818181818188
7.1206,810,1,1,0.9806060606060606,0.019393939393939408
7.1502,808,1,1,0.9793924392439244,0.020607560756075616
7.2381,806,1,1,0.9781773121480883,0.02182268785191166
7.2444,804,1,1,0.976960673700143,0.023039326299857055
7.2659,802,1,1,0.9757425182466515,0.02425748175334852
7.3563,800,1,1,0.9745228400988432,0.025477159901156843
7.7943,798,1,2,0.9733016335323033,0.026698366467696744
7.827,795,1,2,0.9720773547479858,0.027922645252014155
8.0062,792,1,2,0.9708499843505768,0.02915001564942321
8.3569,789,1,2,0.9696195027481045,0.03038049725189551
8.8013,786,1,2,0.9683858901491883,0.0316141098508117
9.1962,783,1,3,0.9671491265602365,0.03285087343976345
9.4774,779,1,3,0.9659076000819821,0.034092399918017935
10.0752,775,1,3,0.9646612676947794,0.035338732305220555
10.6185,771,1,3,0.9634100857652143,0.03658991423478575
10.8358,767,1,3,0.9621540100340993,0.03784598996590072
10.8651,763,1,3,0.9608929956041725,0.03910700439582748
10.9464,759,1,3,0.9596269969274872,0.04037300307251279
11.0539,755,1,3,0.9583559677924839,0.04164403220751611
11.6118,751,1,3,0.9570798613107363,0.0429201386892637
11.7444,747,1,3,0.9557986299033592,0.044201370096640824
11.9635,743,1,3,0.9545122252870692,0.04548777471293075
12.1414,739,1,3,0.9532205984598878,0.046779401540112175
12.1658,735,1,3,0.9519236996864731,0.04807630031352694
12.3775,731,1,4,0.9506214784830715,0.04937852151692845
12.4209,726,1,4,0.9493120825071996,0.05068791749280044
12.8656,721,1,4,0.9479954221985905,0.052004577801409546
12.9033,716,1,4,0.9466714062457992,0.05332859375420085
13.2113,711,1,4,0.9453399415394057,0.054660058460594296
13.353,706,1,4,0.9440009331236275,0.05599906687637246
13.3555,701,1,4,0.9426542841462757,0.05734571585372428
13.7481,696,1,4,0.9412998958069851,0.05870010419301486
13.7599,691,1,4,0.9399376673036465,0.060062332696353526
13.7962,686,1,4,0.9385674957769647,0.061432504223035256
13.8456,681,1,4,0.9371892762530631,0.06281072374693686
13.8572,676,1,4,0.9358029015840498,0.06419709841595023
13.9139,671,1,4,0.934408262386458,0.06559173761354198
14.0512,666,1,5,0.9330052469774693,0.06699475302253066
14.1125,660,1,5,0.9315916026638672,0.0684083973361328
14.1174,654,1,5,0.9301671506720265,0.06983284932797351
14.5812,648,1,6,0.9287317075382734,0.07126829246172661
14.738,641,1,6,0.9272828281193369,0.07271717188066307
14.8085,634,1,6,0.9258202369077922,0.07417976309220775
15.0716,627,1,7,0.9243436496080988,0.07565635039190122
15.4279,619,1,7,0.9228503642290874,0.0771496357709126
15.5044,611,1,7,0.9213399708342771,0.0786600291657229
15.8047,603,1,7,0.9198120438511357,0.08018795614886431
15.8171,595,1,7,0.9182661412564279,0.08173385874357209
15.8551,587,1,7,0.9167018037074391,0.08329819629256086
15.8666,579,1,7,0.9151185536146802,0.0848814463853198
15.8719,571,1,7,0.913515894151257,0.086484105848743
16.3915,563,1,10,0.9118933081936171,0.08810669180638286
16.4847,552,1,10,0.9102413275628316,0.0897586724371684
16.6316,541,1,10,0.9085588112457099,0.09144118875429008
16.8826,530,1,10,0.9068445493376991,0.09315545066230091
17.6378,519,1,10,0.9050972573351216,0.09490274266487841
17.6867,508,1,10,0.9033155698206824,0.0966844301793176
17.7321,497,1,10,0.9014980334628943,0.09850196653710575
17.7374,486,1,10,0.899643099237662,0.10035690076233805
18.1392,475,1,10,0.8977491137655826,0.10225088623441736
18.2852,464,1,10,0.8958143096410878,0.10418569035891223
18.3552,453,1,10,0.8938367946087675,0.10616320539123247
18.4989,442,1,10,0.891814539417345,0.10818546058265499
18.6091,431,1,10,0.8897453641518756,0.11025463584812445
18.6825,420,1,10,0.8876269228086568,0.11237307719134315
18.8713,409,1,10,0.8854566858335746,0.11454331416642538
18.8836,398,1,10,0.8832319202912793,0.11676807970872072
19.5483,387,1,10,0.8809496672672709,0.11905033273272914
19.6941,376,1,10,0.8786067160245388,0.12139328397546123
19.9004,365,1,10,0.8761995743368003,0.12380042566319971
19.9982,354,1,12,0.8737244342963009,0.12627556570369913
20.0978,341,1,12,0.8711621925534965,0.12883780744650353
20.8014,328,1,13,0.868506210259126,0.131493789740874
20.8458,314,1,13,0.8657402669143517,0.13425973308564831
20.8721,300,1,13,0.8628544660246372,0.13714553397536278
21.3134,286,1,14,0.8598374923672084,0.1401625076327916
21.7516,271,1,14,0.8566646602920527,0.14333533970794732
21.8416,256,1,14,0.8533183139627869,0.1466816860372131
22.0691,241,1,14,0.8497775740708251,0.1502224259291749
22.3408,226,1,15,0.8460174963094498,0.15398250369055022
22.7093,210,1,15,0.8419888415651191,0.1580111584348809
22.7972,194,1,15,0.8376486928972576,0.16235130710274237
22.8177,178,1,15,0.8329428013641269,0.1670571986358731
23.0431,162,1,16,0.8278011791334842,0.17219882086651583
23.135,145,1,16,0.8220922054842877,0.17790779451571226
23.1527,128,1,16,0.8156696101289418,0.1843303898710582
23.5385,111,1,16,0.8083212352629153,0.19167876473708467
23.5791,94,1,16,0.7997220731856503,0.20027792681434975
23.7331,77,1,16,0.7893360722351872,0.2106639277648128
23.8147,60,1,16,0.7761804710312674,0.22381952896873258
24.0353,43,1,16,0.7581297624026333,0.2418702375973667
24.0821,26,1,16,0.7289709253871475,0.2710290746128525
24.2517,9,1,16,0.6479741558996867,0.35202584410031335
24.291,-8,1,16,0.6479741558996867,0.35202584410031335
24.6069,-25,1,16,0.6479741558996867,0.35202584410031335
25.2949,-42,1,16,0.6479741558996867,0.35202584410031335
25.8948,-59,1,16,0.6479741558996867,0.35202584410031335
25.9165,-76,1,16,0.6479741558996867,0.35202584410031335
26.0625,-93,1,18,0.6479741558996867,0.35202584410031335
26.183,-112,1,18,0.6479741558996867,0.35202584410031335
26.5931,-131,1,18,0.6479741558996867,0.35202584410031335
26.7885,-150,1,18,0.6479741558996867,0.35202584410031335
27.6539,-169,1,19,0.6479741558996867,0.35202584410031335
27.8834,-189,1,19,0.6479741558996867,0.35202584410031335
27.9313,-209,1,19,0.6479741558996867,0.35202584410031335
28.283,-229,1,19,0.6479741558996867,0.35202584410031335
28.5201,-249,1,19,0.6479741558996867,0.35202584410031335
28.6359,-269,1,19,0.6479741558996867,0.35202584410031335
28.6782,-289,1,19,0.6479741558996867,0.35202584410031335
28.7393,-309,1,19,0.6479741558996867,0.35202584410031335
28.8657,-329,1,19,0.6479741558996867,0.35202584410031335
28.9444,-349,1,19,0.6479741558996867,0.35202584410031335
29.1526,-369,1,19,0.6479741558996867,0.35202584410031335
29.6055,-389,1,19,0.6479741558996867,0.35202584410031335
29.8273,-409,1,19,0.6479741558996867,0.35202584410031335
30.0487,-429,1,19,0.6479741558996867,0.35202584410031335
30.1193,-449,1,19,0.6479741558996867,0.35202584410031335
30.9592,-469,1,20,0.6479741558996867,0.35202584410031335
31.0681,-490,1,20,0.6479741558996867,0.35202584410031335
31.5833,-511,1,20,0.6479741558996867,0.35202584410031335
31.8869,-532,1,20,0.6479741558996867,0.35202584410031335
32.0249,-553,1,20,0.6479741558996867,0.35202584410031335
32.0789,-574,1,20,0.6479741558996867,0.35202584410031335
32.9693,-595,1,20,0.6479741558996867,0.35202584410031335
33.1306,-616,1,21,0.6479741558996867,0.35202584410031335
33.349,-638,1,21,0.6479741558996867,0.35202584410031335
33.3547,-660,1,21,0.6479741558996867,0.35202584410031335
33.7937,-682,1,21,0.6479741558996867,0.35202584410031335
34.0101,-704,1,21,0.6479741558996867,0.35202584410031335
34.0334,-726,1,21,0.6479741558996867,0.35202584410031335
34.0496,-748,1,21,0.6479741558996867,0.35202584410031335
34.0975,-770,1,21,0.6479741558996867,0.35202584410031335
34.1438,-792,1,21,0.6479741558996867,0.35202584410031335
34.1918,-814,1,21,0.6479741558996867,0.35202584410031335
34.7344,-836,1,22,0.6479741558996867,0.35202584410031335
35.0483,-859,1,22,0.6479741558996867,0.35202584410031335
35.2647,-882,1,22,0.6479741558996867,0.35202584410031335
35.6975,-905,1,22,0.6479741558996867,0.35202584410031335
35.7477,-928,1,22,0.6479741558996867,0.35202584410031335
35.9503,-951,1,23,0.6479741558996867,0.35202584410031335
36.2209,-975,1,24,0.6479741558996867,0.35202584410031335
36.9456,-1000,1,25,0.6479741558996867,0.35202584410031335
37.1209,-1026,1,26,0.6479741558996867,0.35202584410031335
37.1308,-1053,1,26,0.6479741558996867,0.35202584410031335
37.1573,-1080,1,27,0.6479741558996867,0.35202584410031335
37.5345,-1108,1,27,0.6479741558996867,0.35202584410031335
38.0757,-1136,1,27,0.6479741558996867,0.35202584410031335
38.735,-1164,1,27,0.6479741558996867,0.35202584410031335
38.7995,-1192,1,27,0.6479741558996867,0.35202584410031335
38.8161,-1220,1,27,0.6479741558996867,0.35202584410031335
38.875,-1248,1,27,0.6479741558996867,0.35202584410031335
38.9257,-1276,1,27,0.6479741558996867,0.35202584410031335
38.9778,-1304,1,27,0.6479741558996867,0.35202584410031335
39.0656,-1332,1,27,0.6479741558996867,0.35202584410031335
39.0658,-1360,1,27,0.6479741558996867,0.35202584410031335
39.1183,-1388,1,27,0.6479741558996867,0.35202584410031335
39.1538,-1416,1,27,0.6479741558996867,0.35202584410031335
39.166,-1444,1,27,0.6479741558996867,0.35202584410031335
39.2417,-1472,1,27,0.6479741558996867,0.35202584410031335
39.8077,-1500,1,27,0.6479741558996867,0.35202584410031335
40.0788,-1528,1,27,0.6479741558996867,0.35202584410031335
40.232,-1556,1,27,0.6479741558996867,0.35202584410031335
41.7237,-1584,1,28,0.6479741558996867,0.35202584410031335
42.091,-1613,1,28,0.6479741558996867,0.35202584410031335
42.265,-1642,1,29,0.6479741558996867,0.35202584410031335
42.6904,-1672,1,29,0.6479741558996867,0.35202584410031335
42.7001,-1702,1,29,0.6479741558996867,0.35202584410031335
42.7389,-1732,1,29,0.6479741558996867,0.35202584410031335
42.8789,-1762,1,29,0.6479741558996867,0.35202584410031335
43.1232,-1792,1,30,0.6479741558996867,0.35202584410031335
43.5168,-1823,1,31,0.6479741558996867,0.35202584410031335
