model,model_formula,n,missing_rows,pseudo_r2,coefficient,estimate,odds_ratio,std_error,ci_low,ci_high,p_value,robust_se
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,const,-0.49707740722428695,0.6083058947178542,1.5232914987535289,0.030725145661203875,12.043427413778785,0.7441837848558169,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,origin_organic_search,0.21065546216663125,1.234486954321714,0.5760561333551817,0.3991596518061372,3.8179160481146357,0.7145996544350668,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,origin_paid_search,0.48937845738325375,1.6313019810896612,0.5961978131895538,0.5070489234297033,5.248302541512036,0.411741764011609,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,origin_social,0.03305845239535787,1.033610954511739,0.7770753652691579,0.225376875275007,4.74028936634717,0.9660665157746267,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,origin_unknown,0.50477635706529,1.6566149887912223,0.5932364655374218,0.5179141677876701,5.298895824400106,0.3948329130427899,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,cohort_month_str_2018-02,1.2500176697255272,3.490404631408775,1.4887362455566457,0.1886519013236887,64.5788587630314,0.40110455011919577,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,cohort_month_str_2018-03,1.2429166661286586,3.465707048160032,1.5040580886483013,0.18177547300967686,66.07671070687691,0.4085911504930658,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,cohort_month_str_2018-04,0.7581178893407391,2.1342555329061503,1.4533534509197172,0.12363735789698355,36.84199304498118,0.6019255138418234,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,cohort_month_str_2018-05,0.42565986897330893,1.5306000820089767,1.4500781577305775,0.08923864485368053,26.252489769282533,0.7691073603159141,HC3
retention_m3_glm,M3_retained ~ origin + cohort_month,265,16,0.34461465150810755,cohort_month_str_2018-06,-24.38596075806205,2.5663258993042835e-11,1.4313027518986854,1.5523323054404414e-12,4.242666726935953e-10,4.3211877015308565e-65,HC3

