delay_severity,n_orders,avg_delay_days,avg_review,review_ci_low,review_ci_high,low_review_n,low_review_rate,low_review_ci_low,low_review_ci_high,sample_size_flag
early >14d,34776,-19.95021607634096,4.322650678628939,4.310796957671958,4.333887235449735,3139,0.09026340004600875,0.08729671101418503,0.09332060048961786,strong
early 7–14d,36158,-10.557873558858446,4.311208215793646,4.2988380856242046,4.322655659420691,3206,0.08866640854029537,0.0857799576453536,0.09164025106074161,strong
early 0–6d,17234,-4.159651291562974,4.20085296506905,4.184474730184519,4.217749796913079,1759,0.10206568411280027,0.09763421850666203,0.10667450931369675,strong
late 1–3d,2636,1.3997054143483392,3.7668816388467374,3.7175360394537176,3.814121775417299,503,0.19081942336874053,0.17627287953173562,0.20626579734464937,strong
late 4–7d,1773,5.113679811368052,2.317258883248731,2.243090806542583,2.385977157360406,1086,0.6125211505922166,0.5896244872713948,0.6349312816292362,strong
late 8–14d,1749,9.97426548636258,1.7461406518010292,1.6922312750142938,1.8013150371640938,1364,0.779874213836478,0.7598546059404936,0.7986670989595424,strong
late >14d,1504,28.043226034586777,1.7107712765957446,1.653590425531915,1.7764710771276595,1183,0.7865691489361702,0.7651453885910213,0.806532751015369,strong

