speed_bucket,n,m3_retained,m3_retention_rate,ci_low,ci_high,sample_size_flag
≤7d,14,12,0.8571428571428571,0.6005862050302965,0.9599060787285351,small
8–30d,102,64,0.6274509803921569,0.5306001919994485,0.7150502392181197,strong
31–60d,90,31,0.34444444444444444,0.2544591402493863,0.44716527659284866,usable
61–90d,53,15,0.2830188679245283,0.1796629044633857,0.4157028641641701,usable
>90d,22,5,0.22727272727272727,0.10123039985248516,0.4343995317522171,small
